clique_id,size,hard_coherence,soft_coherence
369,2,1.0,1.0
370,3,1.0,0.6666666666666666
371,2,1.0,0.5
372,2,1.0,1.0
373,2,1.0,1.0
374,4,1.0,1.0
375,4,1.0,1.0
376,5,1.0,1.0
377,6,1.0,1.0
378,2,1.0,1.0
379,3,1.0,1.0
380,2,1.0,0.5
381,2,1.0,0.5
382,2,1.0,1.0
383,2,1.0,1.0
384,3,1.0,0.6666666666666666
385,7,1.0,0.7301587301587301
386,5,1.0,0.5666666666666667
387,5,1.0,0.6333333333333333
388,2,1.0,0.5
389,3,1.0,0.6666666666666666
390,3,1.0,1.0
391,6,1.0,0.7
392,3,1.0,1.0
393,2,1.0,1.0
394,2,1.0,1.0
395,2,1.0,0.5
396,2,1.0,0.3333333333333333
397,2,1.0,0.5
398,2,1.0,0.5
399,2,1.0,1.0
400,3,1.0,1.0
401,3,1.0,0.6666666666666666
402,2,1.0,1.0
403,2,1.0,1.0
404,6,1.0,0.611111111111111
405,3,1.0,1.0
406,2,1.0,1.0
407,2,1.0,0.3333333333333333
408,4,1.0,0.6666666666666666
409,2,1.0,1.0
410,2,1.0,0.5
411,2,0.5,0.3333333333333333
412,5,0.8,0.425
413,2,1.0,1.0
414,3,1.0,1.0
415,2,1.0,1.0
416,2,1.0,0.5
417,3,1.0,1.0
418,3,1.0,0.6666666666666666
419,2,1.0,1.0
420,8,1.0,0.5654761904761905
421,5,1.0,0.6333333333333333
422,9,1.0,0.8888888888888888
423,9,1.0,0.8055555555555556
424,10,1.0,0.8222222222222222
425,10,1.0,0.7666666666666667
426,9,1.0,0.75
427,10,1.0,0.7666666666666667
428,10,1.0,0.7333333333333333
429,9,1.0,0.75
430,10,1.0,0.7333333333333333
431,9,1.0,0.75
432,10,1.0,0.7370370370370372
433,10,1.0,0.6888888888888889
434,5,1.0,0.8
435,7,1.0,0.7619047619047619
436,7,1.0,0.7301587301587301
437,3,0.6666666666666666,0.4444444444444444
438,3,1.0,0.6666666666666666
439,6,1.0,0.611111111111111
440,3,1.0,0.6666666666666666
441,4,1.0,0.75
442,3,1.0,0.6666666666666666
443,2,0.5,0.5
444,5,1.0,1.0
445,4,1.0,1.0
446,3,1.0,1.0
447,7,1.0,1.0
448,7,1.0,1.0
449,7,1.0,1.0
450,9,1.0,1.0
451,9,1.0,1.0
452,9,1.0,1.0
453,9,1.0,1.0
454,8,1.0,1.0
455,8,1.0,1.0
456,8,1.0,1.0
457,8,1.0,1.0
458,8,1.0,1.0
459,8,1.0,1.0
460,6,1.0,1.0
461,7,1.0,1.0
462,5,1.0,1.0
463,5,1.0,1.0
464,5,1.0,1.0
465,3,1.0,1.0
466,2,1.0,1.0
467,2,1.0,1.0
468,2,1.0,1.0
469,9,1.0,1.0
470,10,1.0,1.0
471,10,1.0,1.0
472,10,1.0,1.0
473,6,1.0,1.0
474,2,1.0,1.0
475,9,1.0,1.0
476,9,1.0,1.0
477,3,1.0,1.0
478,10,1.0,1.0
479,9,1.0,1.0
480,10,1.0,1.0
481,12,1.0,1.0
482,12,1.0,1.0
483,12,1.0,1.0
484,11,1.0,1.0
485,12,1.0,1.0
486,11,1.0,1.0
487,11,1.0,1.0
488,10,1.0,1.0
489,10,1.0,1.0
490,4,1.0,1.0
491,3,1.0,1.0
492,2,1.0,1.0
493,3,1.0,1.0
494,3,1.0,1.0
495,3,1.0,1.0
496,4,1.0,1.0
497,2,1.0,1.0
498,2,1.0,1.0
499,3,1.0,0.5555555555555555
500,2,1.0,1.0
501,2,1.0,0.5
502,2,1.0,1.0
503,2,1.0,1.0
504,3,1.0,0.6666666666666666
505,3,1.0,1.0
506,3,1.0,1.0
507,3,1.0,1.0
508,4,1.0,0.75
509,4,1.0,0.75
510,3,1.0,1.0
511,4,1.0,1.0
512,5,1.0,1.0
513,5,1.0,1.0
514,5,1.0,1.0
515,5,1.0,1.0
516,5,1.0,1.0
517,3,1.0,0.6666666666666666
518,5,1.0,0.8
519,4,1.0,1.0
520,4,1.0,1.0
521,3,1.0,0.6666666666666666
522,3,1.0,1.0
523,2,1.0,1.0
524,3,1.0,0.6666666666666666
525,4,1.0,0.6666666666666666
526,3,1.0,0.6666666666666666
527,4,1.0,0.75
528,3,1.0,1.0
529,2,1.0,1.0
530,2,1.0,0.5
531,2,1.0,1.0
532,2,1.0,1.0
533,2,1.0,0.5
534,2,1.0,0.5
535,2,1.0,0.3333333333333333
536,2,0.5,1.0
537,2,1.0,1.0
538,2,0.5,1.0
539,4,1.0,1.0
540,4,1.0,1.0
541,2,1.0,1.0
542,2,0.5,0.75
543,2,1.0,0.3333333333333333
544,3,1.0,1.0
545,2,1.0,1.0
546,3,1.0,0.6666666666666666
547,3,1.0,0.6666666666666666
548,6,1.0,1.0
549,6,1.0,1.0
550,4,1.0,1.0
551,3,1.0,1.0
552,3,1.0,1.0
553,3,1.0,1.0
554,2,1.0,1.0
555,2,1.0,1.0
556,2,1.0,1.0
557,2,1.0,1.0
558,4,1.0,1.0
559,4,1.0,1.0
560,4,1.0,1.0
561,2,1.0,1.0
562,4,1.0,1.0
563,3,1.0,0.6666666666666666
564,3,1.0,1.0
565,5,1.0,1.0
566,5,1.0,1.0
567,2,1.0,1.0
568,2,1.0,1.0
569,3,1.0,1.0
570,3,1.0,1.0
571,3,1.0,1.0
572,6,1.0,1.0
573,5,1.0,1.0
574,2,1.0,1.0
575,2,1.0,1.0
576,2,1.0,1.0
577,2,1.0,1.0
578,2,1.0,0.5
579,4,1.0,1.0
580,5,1.0,0.8
581,3,1.0,1.0
582,3,1.0,1.0
583,4,1.0,1.0
584,4,1.0,1.0
585,2,1.0,1.0
586,2,1.0,1.0
587,3,1.0,1.0
588,2,1.0,1.0
589,3,1.0,1.0
590,4,1.0,1.0
591,2,1.0,1.0
592,2,1.0,1.0
593,7,1.0,1.0
594,6,1.0,1.0
595,7,1.0,1.0
596,7,1.0,1.0
597,7,1.0,1.0
598,7,1.0,1.0
599,9,1.0,1.0
600,10,1.0,0.8074074074074075
601,10,1.0,0.9
602,10,1.0,1.0
603,10,1.0,0.9
604,11,1.0,1.0
605,11,1.0,1.0
606,10,1.0,1.0
607,10,1.0,0.9
608,10,1.0,1.0
609,10,1.0,0.9
610,9,1.0,1.0
611,10,1.0,1.0
612,10,1.0,0.9
613,8,1.0,1.0
614,10,1.0,0.9
615,10,1.0,0.9
616,3,1.0,1.0
617,4,1.0,1.0
618,3,1.0,1.0
619,2,1.0,1.0
620,3,1.0,1.0
621,2,1.0,1.0
622,2,1.0,0.1111111111111111
623,3,1.0,0.6666666666666666
624,8,0.875,0.875
625,7,0.7142857142857143,0.7619047619047619
626,4,0.75,0.6666666666666666
627,4,0.75,0.5555555555555555
628,3,1.0,1.0
629,2,1.0,1.0
630,2,0.5,0.25
631,3,1.0,1.0
632,5,1.0,1.0
633,4,1.0,1.0
634,2,1.0,0.5
635,5,0.8,0.8
636,2,0.5,0.5
637,2,1.0,1.0
638,2,1.0,1.0
639,5,0.8,0.8
640,4,1.0,1.0
641,2,0.5,0.2
642,2,1.0,1.0
643,2,1.0,1.0
644,3,0.3333333333333333,0.5
645,2,1.0,1.0
646,4,0.5,0.3611111111111111
647,2,1.0,1.0
648,3,1.0,1.0
649,3,1.0,1.0
650,3,1.0,1.0
651,3,1.0,1.0
652,3,1.0,1.0
653,3,1.0,1.0
654,2,1.0,1.0
655,2,1.0,1.0
656,2,1.0,1.0
657,3,1.0,1.0
658,3,1.0,1.0
659,2,1.0,1.0
660,2,1.0,1.0
661,2,1.0,1.0
662,2,0.5,0.5
663,2,1.0,1.0
664,2,1.0,1.0
665,2,1.0,1.0
666,2,1.0,1.0
667,2,1.0,1.0
668,2,1.0,1.0
669,2,1.0,1.0
670,2,1.0,1.0
671,2,1.0,0.5
672,3,1.0,1.0
673,3,0.6666666666666666,0.6666666666666666
674,2,0.5,0.3333333333333333
675,2,0.5,0.3333333333333333
676,2,1.0,1.0
677,2,1.0,1.0
678,2,1.0,1.0
679,6,0.8333333333333334,0.75
680,5,0.8,0.68
681,4,0.75,0.75
682,6,0.6666666666666666,0.4506349206349208
683,4,0.75,0.45
684,2,0.5,0.2
685,3,1.0,0.6666666666666666
686,3,0.6666666666666666,0.6666666666666666
687,6,0.8333333333333334,0.7222222222222221
688,3,0.6666666666666666,0.3277777777777778
689,6,1.0,1.0
690,5,1.0,1.0
691,3,0.3333333333333333,0.3666666666666667
692,5,0.6,0.6166666666666666
693,4,0.5,0.5
694,6,0.3333333333333333,0.4666666666666667
695,9,0.4444444444444444,0.45879629629629626
696,9,0.5555555555555556,0.4738756613756613
697,9,0.4444444444444444,0.46898148148148144
698,8,0.5,0.4265306122448979
699,9,0.3333333333333333,0.4574074074074074
700,9,0.4444444444444444,0.4990740740740741
701,9,0.5555555555555556,0.515542328042328
702,10,0.4,0.47074074074074074
703,9,0.5555555555555556,0.5282407407407406
704,9,0.4444444444444444,0.4990740740740741
705,10,0.4,0.45296296296296296
706,9,0.4444444444444444,0.49907407407407395
707,9,0.3333333333333333,0.4976851851851851
708,9,0.4444444444444444,0.48564814814814805
709,9,0.5555555555555556,0.5504629629629629
710,10,0.5,0.5174074074074073
711,9,0.5555555555555556,0.526653439153439
712,9,0.6666666666666666,0.6027777777777777
