model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
rotate,0.45,491,3,3,1.0,1,noun.artifact
rotate,0.45,492,2,2,1.0,1,noun.artifact
rotate,0.45,493,3,2,0.5,2,noun.state
rotate,0.45,494,3,2,0.5,2,noun.state
rotate,0.45,495,3,3,1.0,1,noun.artifact
rotate,0.45,496,2,2,1.0,1,noun.artifact
rotate,0.45,497,4,4,1.0,1,noun.artifact
rotate,0.45,498,4,4,1.0,1,noun.artifact
rotate,0.45,499,2,2,1.0,1,noun.artifact
rotate,0.45,500,2,2,1.0,1,noun.artifact
rotate,0.45,501,2,2,1.0,1,noun.artifact
rotate,0.45,502,2,2,0.5,2,noun.artifact
rotate,0.45,503,2,2,0.5,2,noun.artifact
rotate,0.45,504,2,2,1.0,1,noun.artifact
rotate,0.45,505,2,2,1.0,1,noun.artifact
rotate,0.45,506,2,2,1.0,1,noun.artifact
rotate,0.45,507,2,2,0.5,2,noun.artifact
rotate,0.45,508,2,2,1.0,1,noun.artifact
rotate,0.45,509,4,4,1.0,1,noun.artifact
rotate,0.45,510,3,3,1.0,1,noun.artifact
rotate,0.45,511,2,2,1.0,1,noun.artifact
rotate,0.45,512,2,2,1.0,1,noun.artifact
rotate,0.45,513,2,2,0.5,2,noun.act
rotate,0.45,514,3,3,1.0,1,noun.artifact
rotate,0.45,515,3,3,1.0,1,noun.artifact
rotate,0.45,516,2,2,1.0,1,noun.artifact
rotate,0.45,517,2,2,0.5,2,noun.relation
rotate,0.45,518,2,2,1.0,1,noun.artifact
rotate,0.45,519,2,2,0.5,2,noun.artifact
rotate,0.45,527,2,2,0.5,2,noun.act
rotate,0.45,531,2,2,0.5,2,noun.artifact
rotate,0.45,532,3,3,0.6666666666666666,2,noun.communication
rotate,0.45,533,2,2,1.0,1,noun.communication
rotate,0.45,534,2,2,1.0,1,noun.cognition
rotate,0.45,535,2,2,1.0,1,noun.cognition
rotate,0.45,536,3,3,0.6666666666666666,2,noun.cognition
rotate,0.45,537,2,2,0.5,2,noun.act
rotate,0.45,538,3,3,0.6666666666666666,2,noun.cognition
rotate,0.45,539,3,3,0.6666666666666666,2,noun.cognition
rotate,0.45,540,2,2,0.5,2,noun.attribute
rotate,0.45,541,2,2,0.5,2,noun.attribute
rotate,0.45,542,2,2,0.5,2,noun.attribute
rotate,0.45,543,2,2,0.5,2,noun.act
rotate,0.45,544,2,2,1.0,1,noun.shape
rotate,0.45,545,2,2,0.5,2,noun.quantity
rotate,0.45,546,2,2,0.5,2,noun.quantity
rotate,0.45,547,3,3,0.6666666666666666,2,noun.cognition
rotate,0.45,548,2,2,1.0,1,noun.cognition
rotate,0.45,549,3,3,1.0,1,noun.cognition
rotate,0.45,550,3,3,1.0,1,noun.cognition
rotate,0.45,551,3,3,1.0,1,noun.cognition
rotate,0.45,552,3,3,1.0,1,noun.cognition
rotate,0.45,553,3,3,1.0,1,noun.cognition
rotate,0.45,554,2,2,1.0,1,noun.cognition
rotate,0.45,555,3,3,1.0,1,noun.cognition
rotate,0.45,556,4,4,1.0,1,noun.cognition
rotate,0.45,557,4,4,0.75,2,noun.cognition
rotate,0.45,558,4,4,1.0,1,noun.cognition
rotate,0.45,559,3,3,1.0,1,noun.cognition
rotate,0.45,560,3,3,1.0,1,noun.cognition
rotate,0.45,561,3,3,0.6666666666666666,2,noun.cognition
rotate,0.45,562,4,4,1.0,1,noun.cognition
rotate,0.45,563,3,3,1.0,1,noun.cognition
rotate,0.45,564,4,4,1.0,1,noun.cognition
rotate,0.45,565,4,4,1.0,1,noun.cognition
rotate,0.45,566,2,2,1.0,1,noun.cognition
rotate,0.45,567,2,2,1.0,1,noun.cognition
rotate,0.45,568,2,2,1.0,1,noun.event
rotate,0.45,569,2,2,0.5,2,noun.event
rotate,0.45,570,2,2,0.5,2,noun.shape
rotate,0.45,575,3,3,0.3333333333333333,3,noun.person
