model,tau,cluster_id,size,labelled_size,lexical_domain_purity,n_distinct_domains,dominant_domain
transe,0.45,664,2,2,1.0,1,noun.act
transe,0.45,665,2,2,0.5,2,noun.quantity
transe,0.45,666,2,2,1.0,1,noun.communication
transe,0.45,667,2,2,1.0,1,noun.communication
transe,0.45,668,2,2,1.0,1,noun.communication
transe,0.45,669,2,2,1.0,1,noun.communication
transe,0.45,671,2,2,1.0,1,noun.communication
transe,0.45,672,2,2,0.5,2,noun.cognition
transe,0.45,673,2,2,1.0,1,noun.communication
transe,0.45,674,2,2,1.0,1,noun.communication
transe,0.45,675,2,2,1.0,1,noun.communication
transe,0.45,676,2,2,1.0,1,noun.communication
transe,0.45,678,2,2,0.5,2,noun.person
transe,0.45,679,2,2,1.0,1,noun.person
transe,0.45,680,2,2,1.0,1,noun.person
transe,0.45,681,2,2,1.0,1,noun.person
transe,0.45,682,2,2,1.0,1,noun.person
transe,0.45,683,2,2,1.0,1,noun.act
transe,0.45,685,2,2,1.0,1,noun.act
transe,0.45,686,2,2,0.5,2,noun.act
transe,0.45,688,2,2,1.0,1,noun.person
transe,0.45,690,2,2,1.0,1,noun.person
transe,0.45,691,2,2,1.0,1,noun.person
transe,0.45,692,2,2,1.0,1,noun.act
transe,0.45,693,2,2,0.5,2,noun.person
transe,0.45,694,2,2,0.5,2,noun.cognition
transe,0.45,695,2,2,0.5,2,noun.cognition
transe,0.45,696,2,2,1.0,1,noun.animal
transe,0.45,697,2,2,1.0,1,noun.animal
transe,0.45,700,2,2,1.0,1,noun.animal
transe,0.45,701,2,2,1.0,1,noun.animal
transe,0.45,702,2,2,1.0,1,noun.animal
transe,0.45,703,2,2,1.0,1,noun.animal
transe,0.45,704,2,2,1.0,1,noun.animal
transe,0.45,706,2,2,1.0,1,noun.animal
transe,0.45,707,2,2,1.0,1,noun.animal
transe,0.45,708,2,2,1.0,1,noun.animal
transe,0.45,709,2,2,1.0,1,noun.animal
transe,0.45,710,2,2,1.0,1,noun.animal
transe,0.45,711,2,2,1.0,1,noun.animal
transe,0.45,712,2,2,1.0,1,noun.animal
transe,0.45,713,2,2,1.0,1,noun.animal
transe,0.45,715,2,2,1.0,1,noun.animal
transe,0.45,716,2,2,1.0,1,noun.animal
transe,0.45,719,2,2,1.0,1,noun.communication
transe,0.45,720,2,2,1.0,1,noun.possession
transe,0.45,723,2,2,0.5,2,noun.communication
transe,0.45,734,3,3,1.0,1,noun.group
transe,0.45,736,2,2,1.0,1,noun.group
transe,0.45,737,3,2,0.5,2,noun.person
transe,0.45,742,2,2,1.0,1,noun.group
transe,0.45,743,2,2,1.0,1,noun.group
transe,0.45,744,2,2,1.0,1,noun.group
transe,0.45,745,2,2,1.0,1,noun.group
transe,0.45,746,2,2,1.0,1,noun.group
transe,0.45,748,2,2,0.5,2,noun.communication
transe,0.45,753,2,2,1.0,1,noun.act
transe,0.45,754,2,2,0.5,2,noun.animal
transe,0.45,757,2,2,0.5,2,noun.person
transe,0.45,763,2,2,1.0,1,noun.act
transe,0.45,772,2,2,1.0,1,noun.state
transe,0.45,773,2,2,0.5,2,noun.group
transe,0.45,774,2,2,1.0,1,noun.group
transe,0.45,784,2,2,1.0,1,noun.act
transe,0.45,785,2,2,1.0,1,noun.act
transe,0.45,795,3,2,0.5,2,noun.shape
transe,0.45,796,2,2,1.0,1,noun.shape
transe,0.45,797,2,2,1.0,1,noun.shape
transe,0.45,798,3,3,1.0,1,noun.shape
transe,0.45,799,3,3,1.0,1,noun.shape
transe,0.45,804,2,2,1.0,1,noun.act
transe,0.45,805,2,2,1.0,1,noun.act
transe,0.45,806,2,2,1.0,1,noun.act
transe,0.45,807,2,2,1.0,1,noun.act
transe,0.45,809,2,2,1.0,1,noun.act
transe,0.45,810,2,2,1.0,1,noun.act
transe,0.45,811,2,2,1.0,1,noun.act
transe,0.45,815,2,2,1.0,1,noun.act
transe,0.45,816,2,2,1.0,1,noun.act
transe,0.45,818,2,2,0.5,2,noun.act
transe,0.45,824,2,2,1.0,1,noun.animal
transe,0.45,827,2,2,1.0,1,noun.animal
transe,0.45,828,2,2,1.0,1,noun.animal
transe,0.45,829,2,2,1.0,1,noun.animal
transe,0.45,835,2,2,1.0,1,noun.animal
transe,0.45,837,2,2,0.5,2,noun.substance
